id,lack,particular
1,food,baby_related
2,food,baby_related
3,food,baby_related
4,food,baby_related
5,food,baby_related
6,food,baby_related
7,food,baby_related
8,food,baby_related
9,food,baby_related
10,food,baby_related
11,food,baby_related
12,food,baby_related
13,food,baby_related
14,food,baby_related
15,food,baby_related
16,food,baby_related
17,food,baby_related
18,food,baby_related
19,food,baby_related
20,food,baby_related
21,food,baby_related
22,food,baby_related
23,food,baby_related
24,food,baby_related
25,food,fresh
26,food,fresh
27,food,fresh
28,food,fresh
29,food,fresh
30,food,fresh
31,food,fresh
32,food,fresh
33,food,fresh
34,food,fresh
35,food,fresh
36,food,fresh
37,food,fresh
38,food,fresh
39,food,fresh
40,food,fresh
41,food,fresh
42,food,fresh
43,food,fresh
44,food,fresh
45,food,fresh
46,food,fresh
47,food,fresh
48,food,fresh
49,food,fresh
50,food,fresh
51,food,fresh
52,food,fresh
53,food,fresh
54,food,fresh
55,food,fresh
56,food,fresh
57,food,vegetable
58,food,vegetable
59,food,vegetable
60,food,vegetable
61,food,vegetable
62,food,vegetable
63,food,vegetable
64,food,vegetable
65,food,vegetable
66,food,vegetable
67,food,vegetable
68,food,vegetable
69,food,vegetable
70,food,vegetable
71,food,vegetable
72,food,vegetable
73,food,vegetable
74,food,vegetable
75,food,vegetable
76,food,vegetable
77,food,vegetable
78,food,vegetable
79,food,vegetable
80,food,vegetable
81,food,vegetable
82,food,vegetable
83,food,vegetable
84,food,vegetable
85,food,vegetable
86,food,vegetable
87,food,vegetable
88,food,vegetable
89,food,vegetable
90,food,vegetable
91,food,vegetable
92,food,vegetable
93,food,vegetable
94,food,vegetable
95,food,vegetable
96,food,vegetable
97,food,vegetable
98,food,vegetable
99,food,vegetable
100,food,vegetable
101,food,vegetable
102,food,vegetable
103,food,vegetable
104,food,vegetable
105,food,vegetable
106,food,vegetable
107,food,vegetable
108,food,vegetable
109,food,vegetable
110,food,vegetable
111,food,vegetable
112,food,vegetable
113,food,vegetable
114,food,vegetable
115,food,vegetable
116,food,vegetable
117,food,fruit
118,food,fruit
119,food,fruit
120,food,fruit
121,food,fruit
122,food,fruit
123,food,fruit
124,food,nourishment
125,food,nourishment
126,food,nourishment
127,food,nourishment
128,food,nourishment
129,food,nourishment
130,food,nourishment
131,food,nourishment
132,food,nourishment
133,food,nourishment
134,food,nourishment
135,food,nourishment
136,food,nourishment
137,food,nourishment
138,food,nourishment
139,food,nourishment
140,food,nourishment
141,food,nourishment
142,food,nourishment
143,food,nourishment
144,food,nourishment
145,food,nourishment
146,food,nourishment
147,food,nourishment
148,food,nourishment
149,food,oil
150,food,oil
151,food,oil
152,food,oil
153,food,oil
154,food,oil
155,food,oil
156,food,oil
157,food,instant_food
158,food,instant_food
159,food,instant_food
160,food,instant_food
161,food,instant_food
162,food,instant_food
163,food,instant_food
164,food,instant_food
165,food,instant_food
166,food,instant_food
167,food,instant_food
168,food,staple_food
169,food,staple_food
170,food,staple_food
171,food,staple_food
172,food,staple_food
173,food,staple_food
174,food,staple_food
175,food,staple_food
176,food,staple_food
177,food,staple_food
178,food,staple_food
179,food,staple_food
180,food,staple_food
181,food,staple_food
182,food,staple_food
183,food,staple_food
184,food,staple_food
185,food,staple_food
186,food,staple_food
187,food,staple_food
188,food,staple_food
189,food,staple_food
190,food,staple_food
191,food,staple_food
192,food,staple_food
193,food,staple_food
194,food,staple_food
195,food,staple_food
196,food,staple_food
197,food,staple_food
198,food,staple_food
199,food,staple_food
200,food,staple_food
201,food,staple_food
202,food,staple_food
203,food,staple_food
204,food,staple_food
205,food,staple_food
206,food,staple_food
207,food,staple_food
208,food,staple_food
209,food,staple_food
210,food,condiment
211,food,condiment
212,food,condiment
213,food,condiment
214,food,condiment
215,food,condiment
216,food,special_food
217,food,water
218,food,water
219,food,water
220,food,water
221,food,water
222,food,water
223,food,water
224,food,water
225,food,water
226,food,water
227,food,water
228,food,water
229,food,water
230,food,water
231,food,water
232,food,water
233,food,water
234,food,water
235,food,water
236,food,water
237,food,water
238,food,water
239,food,water
240,food,water
241,food,water
242,food,water
243,food,water
244,food,water
245,food,water
246,food,water
247,food,water
248,food,water
249,food,water
250,food,sock
251,others,-
252,others,-
253,others,-
254,others,-
255,pet_food,-
256,pet_food,-